textbook,tickets,bedding,instrument,personal,food,household,clothing,furniture,bathroom,kitchen,wildcard,tech,sublet,longboard,gaming,outdoors,bikes,tools,cars,holiday,frat,survey
mcat,tickets?,mattress(es)?,guitar,watch,lollipop,brooms?,boots?,bookcases?,razor,microwaves?,wildcard,wireless,sublet(ting)?,longboard,psp,racket,bikes?,saw,toyota,menorah,black light,survey
barrons?,tix,twin,xylophone,backpack,ramen,clothes rack,overalls?,lamps?,hairdryer,minifridges?,,router,apartment,long-board,xbox,sports,bicycles?,hammer,camry,halloween costume,disco ball,
textbooks?,lollapalooza,queen,,bookbag,crab,iron,uggs?,futons?,hair straightener,fridges?,,ram sticks?,garnett,penny/longboard,playstation,punching bag,u-lock,,honda,christmas lights?,fanny pack,
biology,lolla palloza,king,,jewelry,chocolate,alarm?,overalls?,sofas?,shower caddy,mini-fridge,,computers?,rent,long board,3ds,hammock,u lock,,accord,,,
sociology,,pillowcase,,lighter,spice rack,heaters?,hats?,chairs?,,mini fridge,,laptops?,room,,dreamcast,cooler,,,saturn,,,
ea1,,pillow,,goggles,fondue,duster,leggings?,couch(es)?,,refrigerator,,monitors?,,,sega,,,,car tires,,,
ea2,,,,lanyard,,shovel,hats?,bookshelf,,plates?,,enclosure,,,nintendo,,,,,,,
ea3,,,,suitcase,,mirror,tanks?,bookshelves,,bowls?,,sony,,,ngage,,,,,,,
ea4,,,,duffel,,whiteboard,suspenders?,desks?,,silverware,,printers?,,,\nvirtualboy\n,,,,,,,
ea 1,,,,luggage set,,humidifier,coat,drawers?,,cutlery,,speakers?,,,vita,,,,,,,
ea 2,,,,bag,,vacuum,dress,dresser,,blender,,amp,,,PS4,,,,,,,
ea 3,,,,wallet,,sewing,lace,nightstand,,toaster,,turntable,,,,,,,,,,
ea 4,,,,paul mitchell,,hangers?,sequined,beds?,,cooker,,earbuds?,,,,,,,,,,
matlab,,,,raybans?,,bulb,jean,headboard,,kettle,,headphones?,,,,,,,,,,
history,,,,dye,,rug,scarf,tables?,,grill,,cellphone,,,,,,,,,,
physiology,,,,makeup,,yoga mat,costume,pantry,,peeler,,phone,,,,,,,,,,
chem,,,,ray ban,,hand vac,heels,cabinet,,thermos,,htc,,,,,,,,,,
math,,,,wayfares?,,power strips,headband,beanbag,,coffee maker,,nexus,,,,,,,,,,
english,,,,handbags,,picture frame,onesies?,shelf,,juicer,,ipad,,,,,,,,,,
french,,,,,,trash can,shirts?,rack/shelf,,cutting board,,ipod,,,,,,,,,,
gre,,,,,,shower curtains?,nike,shoerack,,dining set,,nano,,,,,,,,,,
politics,,,,,,plastic boxes,sandals?,shoe rack,,coffee grinder,,nikon,,,,,,,,,,
kaplan,,,,,,trashcans?,tshirts?,box spring,,kitchen appliances?,,cameras?,,,,,,,,,,
examkrackers?,,,,,,storage containers?,t-shirts?,storage bins?,,yogurt maker,,gopro,,,,,,,,,,
dictionary,,,,,,dry erase,t shirts?,shelves,,dish rack,,clickers?,,,,,,,,,,
macroeconomics,,,,,,power strip,sweater,wardrobe,,wine glasses,,responsecard,,,,,,,,,,
accounting,,,,,,tarp,shoes?,bean bag,,mugs?,,charger,,,,,,,,,,
orgo,,,,,,fans?,skirts?,stools?,,cups?,,hdmi,,,,,,,,,,
iems,,,,,,curtains?,tunic,clothing rack,,crock pot,,adapter,,,,,,,,,,
statistics,,,,,,a\/c,sundress,armchair,,knives,,thunderbolt,,,,,,,,,,
astronomy,,,,,,ac unit,converses?,shelving unit,,farberware,,ethernet,,,,,,,,,,
calculus,,,,,,air conditioner,cardigan,bench,,knife,,t-mobile,,,,,,,,,,
spanish,,,,,,,jacket,vase,,griddle,,t mobile,,,,,,,,,,
physics,,,,,,,,coat rack,,wine chiller,,apple,,,,,,,,,,
archeology,,,,,,,,ottoman,,tablecloth,,dock,,,,,,,,,,
algorithm,,,,,,,,storage cube,,pitchers?,,itouch,,,,,,,,,,
german,,,,,,,,,,brita,,adobe,,,,,,,,,,
econ,,,,,,,,,,,,dvd player,,,,,,,,,,
algebra,,,,,,,,,,,,dslr,,,,,,,,,,
epidemiology,,,,,,,,,,,,television,,,,,,,,,,
poli sci,,,,,,,,,,,,hdtv,,,,,,,,,,
microeconomics,,,,,,,,,,,,subwoofer,,,,,,,,,,
psychology,,,,,,,,,,,,cables?,,,,,,,,,,
geography,,,,,,,,,,,,vizio,,,,,,,,,,
biochem,,,,,,,,,,,,asus,,,,,,,,,,
psych,,,,,,,,,,,,macbook,,,,,,,,,,
anatomy,,,,,,,,,,,,ti-89,,,,,,,,,,
rtvf,,,,,,,,,,,,ti-84,,,,,,,,,,
genetic,,,,,,,,,,,,ti 89,,,,,,,,,,
ling,,,,,,,,,,,,ti 84,,,,,,,,,,
mat sci,,,,,,,,,,,,calculators?,,,,,,,,,,
psychopathology,,,,,,,,,,,,,,,,,,,,,,
stats,,,,,,,,,,,,,,,,,,,,,,
